time(YYYY-MM-DD-HH);1-hour mean wind speed at 90m(m/s);Significant wave height(m);Zero-up-crossing period(s)
2014-10-11-13;6.5458;0.7135;3.2525
2014-10-11-14;5.9306;0.6733;3.2553
2014-10-11-15;5.6154;0.6410;3.2444
2014-10-11-16;6.0678;0.6233;3.1651
2014-10-11-17;7.1643;0.6317;3.0182
2014-10-11-18;7.9730;0.6641;2.9426
2014-10-11-19;7.9213;0.6860;2.9691
2014-10-11-20;7.9254;0.6937;2.9943
2014-10-11-21;7.8959;0.6958;3.0032
2014-10-11-22;8.8915;0.7247;2.9520
2014-10-11-23;9.7487;0.7882;2.9659
2014-10-12-00;9.8006;0.8373;3.0569
2014-10-12-01;9.5064;0.8547;3.1613
2014-10-12-02;9.5153;0.8607;3.1724
2014-10-12-03;9.8578;0.8751;3.1845
2014-10-12-04;10.1604;0.8989;3.1956
2014-10-12-05;10.2534;0.9203;3.2263
2014-10-12-06;10.1279;0.9300;3.2631
2014-10-12-07;10.3118;0.9388;3.2753
2014-10-12-08;9.6437;0.9229;3.3086
2014-10-12-09;8.9969;0.8853;3.3178
2014-10-12-10;8.0686;0.8336;3.3254
2014-10-12-11;6.5235;0.7662;3.3667
2014-10-12-12;5.0747;0.6997;3.4464
2014-10-12-13;4.1931;0.6456;3.5131
2014-10-12-14;4.1215;0.6046;3.5047
2014-10-12-15;3.9550;0.5734;3.4688
2014-10-12-16;3.3798;0.5494;3.4942
2014-10-12-17;2.7567;0.5333;3.5619
2014-10-12-18;2.0445;0.5262;3.6204
2014-10-12-19;2.6337;0.5267;3.6828
2014-10-12-20;3.8882;0.5320;3.6276
2014-10-12-21;5.3841;0.5426;3.3680
2014-10-12-22;6.9311;0.5685;2.8492
2014-10-12-23;7.6865;0.6158;2.6583
2014-10-13-00;8.3485;0.6580;2.6977
2014-10-13-01;9.0752;0.6997;2.7653
2014-10-13-02;10.0243;0.7574;2.8306
2014-10-13-03;11.2520;0.8511;2.9269
2014-10-13-04;12.2588;0.9788;3.0974
2014-10-13-05;12.9644;1.1206;3.3171
2014-10-13-06;13.7713;1.2719;3.5115
2014-10-13-07;15.2022;1.4448;3.6865
2014-10-13-08;16.1641;1.6424;3.8733
2014-10-13-09;16.8503;1.8253;4.0689
2014-10-13-10;17.3842;1.9951;4.2470
2014-10-13-11;17.3402;2.1142;4.4253
2014-10-13-12;16.3037;2.1691;4.5974
2014-10-13-13;14.7874;2.1280;4.7644
2014-10-13-14;12.7166;2.0053;4.8508
2014-10-13-15;11.6547;1.8535;4.8350
2014-10-13-16;11.1084;1.7333;4.7688
2014-10-13-17;10.8733;1.6544;4.7161
2014-10-13-18;10.9875;1.6110;4.6853
2014-10-13-19;11.3850;1.5973;4.6016
2014-10-13-20;11.8333;1.6108;4.5490
2014-10-13-21;11.8393;1.6357;4.5466
2014-10-13-22;11.2349;1.6410;4.5990
2014-10-13-23;10.7885;1.6308;4.6564
2014-10-14-00;10.5413;1.6207;4.6997
2014-10-14-01;10.1022;1.6072;4.7511
2014-10-14-02;9.8358;1.5897;4.7906
2014-10-14-03;9.8893;1.5743;4.7920
2014-10-14-04;10.0760;1.5641;4.7603
2014-10-14-05;10.2404;1.5597;4.7200
2014-10-14-06;10.2672;1.5594;4.6957
2014-10-14-07;10.1917;1.5633;4.6929
2014-10-14-08;9.9798;1.5670;4.7106
2014-10-14-09;9.7551;1.5668;4.7383
2014-10-14-10;9.7516;1.5682;4.7535
2014-10-14-11;9.7822;1.5755;4.7621
2014-10-14-12;10.1251;1.5935;4.7519
2014-10-14-13;10.8104;1.6322;4.7193
2014-10-14-14;11.5000;1.6910;4.7000
2014-10-14-15;11.8019;1.7428;4.7136
2014-10-14-16;11.6063;1.7490;4.7610
2014-10-14-17;10.9461;1.7013;4.7458
2014-10-14-18;10.1065;1.6177;4.7353
2014-10-14-19;9.2561;1.5261;4.7093
2014-10-14-20;8.7844;1.4445;4.6661
2014-10-14-21;8.9126;1.3858;4.5735
2014-10-14-22;8.4487;1.3393;4.5105
2014-10-14-23;7.6833;1.2928;4.5305
2014-10-15-00;7.4523;1.2526;4.5483
2014-10-15-01;7.3891;1.2254;4.5506
2014-10-15-02;7.4425;1.2168;4.5576
2014-10-15-03;7.6152;1.2293;4.5827
2014-10-15-04;7.8354;1.2546;4.5887
2014-10-15-05;7.8519;1.2716;4.6022
2014-10-15-06;7.3152;1.2620;4.6543
2014-10-15-07;6.7668;1.2280;4.7018
2014-10-15-08;6.4471;1.1817;4.7017
2014-10-15-09;6.4077;1.1328;4.6331
2014-10-15-10;6.0140;1.0836;4.5835
2014-10-15-11;5.3078;1.0348;4.6168
2014-10-15-12;5.2528;0.9919;4.6096
2014-10-15-13;5.2828;0.9562;4.5509
2014-10-15-14;4.4827;0.9244;4.5798
2014-10-15-15;4.0440;0.8979;4.6635
2014-10-15-16;3.9588;0.8789;4.7259
2014-10-15-17;3.2137;0.8648;4.8087
2014-10-15-18;2.1298;0.8536;4.8822
2014-10-15-19;1.1808;0.8445;4.9288
2014-10-15-20;2.3580;0.8374;4.9656
2014-10-15-21;3.1595;0.8330;5.0017
2014-10-15-22;2.5645;0.8318;5.0440
2014-10-15-23;3.1842;0.8335;5.0866
2014-10-16-00;3.3694;0.8370;5.1049
2014-10-16-01;2.7984;0.8409;5.1557
2014-10-16-02;3.5416;0.8441;5.1378
2014-10-16-03;4.0992;0.8463;4.9789
2014-10-16-04;3.7844;0.8451;4.8840
2014-10-16-05;3.2394;0.8385;4.9568
2014-10-16-06;3.2453;0.8282;5.0050
2014-10-16-07;3.4457;0.8158;4.9786
2014-10-16-08;3.7388;0.8017;4.8746
2014-10-16-09;4.0924;0.7872;4.7000
2014-10-16-10;4.1053;0.7721;4.5221
2014-10-16-11;3.7821;0.7550;4.4696
2014-10-16-12;3.3803;0.7361;4.5197
2014-10-16-13;3.1182;0.7175;4.5677
2014-10-16-14;3.2536;0.7007;4.5566
2014-10-16-15;3.8655;0.6874;4.4151
2014-10-16-16;4.5214;0.6795;4.1383
2014-10-16-17;5.4798;0.6822;3.6875
2014-10-16-18;6.2588;0.6987;3.3573
2014-10-16-19;5.2899;0.7005;3.4414
2014-10-16-20;6.8407;0.7092;3.2698
2014-10-16-21;6.9770;0.7274;3.1731
2014-10-16-22;6.3439;0.7222;3.2965
2014-10-16-23;6.2948;0.7112;3.3367
2014-10-17-00;7.0347;0.7163;3.2225
2014-10-17-01;8.4134;0.7573;3.0265
2014-10-17-02;7.8301;0.7789;3.1312
2014-10-17-03;7.4146;0.7710;3.2193
2014-10-17-04;7.4857;0.7599;3.2106
2014-10-17-05;7.4876;0.7490;3.1768
2014-10-17-06;7.7272;0.7417;3.1188
2014-10-17-07;8.3614;0.7477;3.0283
2014-10-17-08;8.4970;0.7539;3.0245
2014-10-17-09;8.2301;0.7437;3.0353
2014-10-17-10;8.5395;0.7375;2.9921
2014-10-17-11;8.9168;0.7473;2.9561
2014-10-17-12;8.9859;0.7576;2.9626
2014-10-17-13;8.1875;0.7400;3.0325
2014-10-17-14;7.6830;0.7072;3.0453
2014-10-17-15;7.5013;0.6802;3.0170
2014-10-17-16;7.5208;0.6652;2.9772
2014-10-17-17;7.0338;0.6510;2.9719
2014-10-17-18;6.4922;0.6307;3.0072
2014-10-17-19;5.7451;0.6054;3.0574
2014-10-17-20;5.2144;0.5791;3.1041
2014-10-17-21;4.9098;0.5551;3.1178
2014-10-17-22;4.5322;0.5325;3.1271
2014-10-17-23;4.9051;0.5153;3.0420
2014-10-18-00;6.3788;0.5188;2.7494
2014-10-18-01;7.6257;0.5510;2.5513
2014-10-18-02;8.3205;0.5893;2.5478
2014-10-18-03;8.8326;0.6241;2.5811
2014-10-18-04;9.8373;0.6739;2.6190
2014-10-18-05;11.2978;0.7649;2.6888
2014-10-18-06;12.5186;0.8831;2.8341
2014-10-18-07;13.6641;1.0243;3.0190
2014-10-18-08;14.1530;1.1572;3.2145
2014-10-18-09;14.6149;1.2591;3.3853
2014-10-18-10;14.9377;1.3543;3.5058
2014-10-18-11;14.4821;1.3850;3.6405
2014-10-18-12;13.7114;1.3545;3.6872
2014-10-18-13;13.3064;1.3031;3.6592
2014-10-18-14;13.2149;1.2669;3.6111
2014-10-18-15;13.3592;1.2673;3.5565
2014-10-18-16;13.0395;1.2677;3.5838
2014-10-18-17;12.8124;1.2655;3.6471
2014-10-18-18;12.9732;1.2851;3.6505
2014-10-18-19;13.8582;1.3511;3.6500
2014-10-18-20;14.6691;1.4504;3.7305
2014-10-18-21;14.7659;1.5321;3.8383
2014-10-18-22;14.4497;1.5704;3.9382
2014-10-18-23;13.9875;1.5781;4.0358
2014-10-19-00;13.3345;1.5641;4.1049
2014-10-19-01;12.8255;1.5332;4.1318
2014-10-19-02;12.7169;1.4996;4.0827
2014-10-19-03;12.4240;1.4548;4.0345
2014-10-19-04;12.6382;1.4219;3.9572
2014-10-19-05;12.7468;1.4085;3.9114
2014-10-19-06;13.0068;1.4190;3.9263
2014-10-19-07;13.3064;1.4666;3.9716
2014-10-19-08;13.7504;1.5567;4.0650
2014-10-19-09;14.6917;1.7007;4.1801
2014-10-19-10;16.3025;1.9616;4.3823
2014-10-19-11;17.1212;2.3044;4.7343
2014-10-19-12;17.9235;2.6283;5.0584
2014-10-19-13;18.7234;2.9156;5.3122
2014-10-19-14;18.5617;3.0841;5.5056
2014-10-19-15;20.0906;3.3379;5.6765
2014-10-19-16;20.5942;3.6428;5.8913
2014-10-19-17;20.3105;3.7380;6.0344
2014-10-19-18;21.0179;3.9554;6.2538
2014-10-19-19;21.4401;4.2162;6.4574
2014-10-19-20;21.5512;4.2875;6.5254
2014-10-19-21;20.8564;4.2993;6.6325
2014-10-19-22;20.0605;4.2235;6.7653
2014-10-19-23;20.1602;4.0950;6.6565
2014-10-20-00;19.7099;3.9567;6.5296
2014-10-20-01;20.1049;3.9199;6.4569
2014-10-20-02;18.0171;3.7475;6.4744
2014-10-20-03;18.3826;3.5900;6.3798
2014-10-20-04;18.4540;3.5582;6.3200
2014-10-20-05;17.3230;3.4790;6.3376
2014-10-20-06;16.8992;3.3794;6.3327
2014-10-20-07;16.7477;3.3270;6.3193
2014-10-20-08;16.3811;3.2638;6.2990
2014-10-20-09;15.3015;3.1077;6.2501
2014-10-20-10;15.1544;2.9477;6.0901
2014-10-20-11;14.5271;2.7931;5.9548
2014-10-20-12;13.6674;2.6211;5.8172
2014-10-20-13;13.4501;2.4762;5.6775
2014-10-20-14;13.2460;2.3685;5.5324
2014-10-20-15;13.9274;2.3278;5.3824
2014-10-20-16;15.0344;2.3804;5.2511
2014-10-20-17;15.0969;2.4437;5.2565
2014-10-20-18;14.4684;2.4327;5.3210
2014-10-20-19;13.6776;2.3604;5.3564
2014-10-20-20;12.9592;2.2613;5.3471
2014-10-20-21;12.3049;2.1547;5.3066
2014-10-20-22;11.8151;2.0559;5.2314
2014-10-20-23;12.1042;1.9854;5.1038
2014-10-21-00;12.9034;1.9549;4.9287
2014-10-21-01;13.9303;1.9722;4.7327
2014-10-21-02;14.5642;2.0124;4.6435
2014-10-21-03;14.7422;2.0338;4.6363
2014-10-21-04;14.8613;2.0361;4.6292
2014-10-21-05;15.8457;2.0827;4.5657
2014-10-21-06;16.2444;2.1625;4.5887
2014-10-21-07;16.6655;2.2406;4.6430
2014-10-21-08;17.4426;2.3248;4.6518
2014-10-21-09;18.9490;2.4329;4.6004
2014-10-21-10;21.2094;2.6123;4.5583
2014-10-21-11;22.3142;2.7915;4.6714
2014-10-21-12;23.4914;3.0595;4.8573
2014-10-21-13;20.1861;3.3016;5.4178
2014-10-21-14;20.5464;3.7697;6.1583
2014-10-21-15;20.3753;4.1168;6.5302
2014-10-21-16;21.5083;4.4409;6.8738
2014-10-21-17;24.3904;5.5149;7.5469
2014-10-21-18;25.4656;6.9205;8.6475
2014-10-21-19;25.8331;7.4615;9.2898
2014-10-21-20;27.0532;7.5636;9.3984
2014-10-21-21;27.9036;7.6213;9.4195
2014-10-21-22;28.2647;7.8550;9.6038
2014-10-21-23;28.7059;8.1541;9.9470
2014-10-22-00;29.3292;8.3202;10.1012
2014-10-22-01;29.2372;8.3574;10.1544
2014-10-22-02;28.3215;8.2981;10.1689
2014-10-22-03;27.6600;8.1989;10.1467
2014-10-22-04;27.2097;8.0979;10.1145
2014-10-22-05;26.8454;7.9774;10.0722
2014-10-22-06;25.8784;7.7641;10.0038
2014-10-22-07;25.0468;7.4769;9.8940
2014-10-22-08;23.9145;7.1251;9.7473
2014-10-22-09;23.0339;6.7637;9.4931
2014-10-22-10;22.4599;6.4190;9.2694
2014-10-22-11;22.0338;6.1160;9.0472
2014-10-22-12;21.2301;5.8051;8.8253
2014-10-22-13;20.0675;5.4365;8.5329
2014-10-22-14;19.2559;5.0506;8.2453
2014-10-22-15;18.7244;4.7136;7.9788
2014-10-22-16;17.6961;4.4035;7.7237
2014-10-22-17;16.3763;4.0683;7.4752
2014-10-22-18;15.1212;3.7326;7.2776
2014-10-22-19;13.6387;3.4093;7.1190
2014-10-22-20;12.9687;3.1338;6.9192
2014-10-22-21;11.5527;2.8934;6.7526
2014-10-22-22;10.3044;2.6769;6.6721
2014-10-22-23;8.0438;2.4802;6.7801
2014-10-23-00;5.2313;2.3111;7.0068
2014-10-23-01;3.6693;2.1745;7.0929
2014-10-23-02;3.3606;2.0604;7.1042
2014-10-23-03;3.9577;1.9617;7.0853
2014-10-23-04;5.1482;1.8743;7.0447
2014-10-23-05;6.1468;1.7955;6.9710
2014-10-23-06;7.4013;1.7234;6.8203
2014-10-23-07;9.1022;1.6647;6.0014
2014-10-23-08;10.2416;1.6553;4.8215
2014-10-23-09;11.1311;1.6708;4.4953
2014-10-23-10;11.7713;1.6788;4.3865
2014-10-23-11;12.0490;1.6731;4.3346
2014-10-23-12;12.1410;1.6571;4.3050
2014-10-23-13;12.0728;1.6346;4.2788
2014-10-23-14;11.8437;1.6067;4.2729
2014-10-23-15;11.7105;1.5834;4.2973
2014-10-23-16;11.5338;1.5675;4.3107
2014-10-23-17;11.1782;1.5484;4.3429
2014-10-23-18;10.3438;1.5096;4.4002
2014-10-23-19;11.4662;1.5020;4.2770
2014-10-23-20;12.9927;1.5629;4.0659
2014-10-23-21;13.4688;1.6228;4.0854
2014-10-23-22;13.8940;1.6665;4.1168
2014-10-23-23;14.2559;1.7019;4.1232
2014-10-24-00;14.7901;1.7334;4.1343
2014-10-24-01;15.6911;1.7967;4.1180
2014-10-24-02;15.8760;1.8601;4.1707
2014-10-24-03;15.6345;1.8878;4.2760
2014-10-24-04;14.6536;1.8545;4.3545
2014-10-24-05;14.0893;1.7859;4.3569
2014-10-24-06;13.5125;1.7020;4.2879
2014-10-24-07;13.5800;1.6351;4.1781
2014-10-24-08;13.4151;1.5804;4.0945
2014-10-24-09;13.2678;1.5307;4.0267
2014-10-24-10;13.2117;1.4932;3.9719
2014-10-24-11;12.8823;1.4558;3.9486
2014-10-24-12;12.4516;1.4103;3.9332
2014-10-24-13;12.2789;1.3700;3.8711
2014-10-24-14;12.5245;1.3503;3.8075
2014-10-24-15;12.7857;1.3512;3.7655
2014-10-24-16;13.0522;1.3623;3.7450
2014-10-24-17;13.5224;1.3881;3.7259
2014-10-24-18;14.0001;1.4348;3.7384
2014-10-24-19;13.9133;1.4750;3.8412
2014-10-24-20;13.5419;1.4980;3.9331
2014-10-24-21;13.2461;1.5077;4.0016
2014-10-24-22;12.7121;1.4889;4.0407
2014-10-24-23;12.3510;1.4377;3.9924
2014-10-25-00;12.4790;1.3877;3.8793
2014-10-25-01;13.2404;1.3922;3.7932
2014-10-25-02;10.6162;1.3389;3.9661
2014-10-25-03;8.8005;1.1632;4.2138
2014-10-25-04;8.1734;1.0310;4.2042
2014-10-25-05;7.9661;0.9527;3.8906
2014-10-25-06;7.5195;0.9166;3.6832
2014-10-25-07;7.1676;0.8996;3.6846
2014-10-25-08;6.6211;0.8848;3.7629
2014-10-25-09;6.2915;0.8700;3.8420
2014-10-25-10;6.0106;0.8578;3.8974
2014-10-25-11;5.7963;0.8492;3.9471
2014-10-25-12;5.9634;0.8478;3.9621
2014-10-25-13;6.2983;0.8551;3.9078
2014-10-25-14;6.9487;0.8718;3.7790
2014-10-25-15;7.6678;0.8969;3.6589
2014-10-25-16;8.4287;0.9303;3.5760
2014-10-25-17;9.0030;0.9707;3.5633
2014-10-25-18;9.4389;1.0140;3.5829
2014-10-25-19;10.0958;1.0646;3.5960
2014-10-25-20;10.7352;1.1196;3.6056
2014-10-25-21;11.5061;1.1813;3.6084
2014-10-25-22;12.1105;1.2538;3.6470
2014-10-25-23;12.3965;1.3290;3.7673
2014-10-26-00;12.6725;1.4162;3.8947
2014-10-26-01;12.8974;1.5182;4.0471
2014-10-26-02;12.9599;1.6193;4.2325
2014-10-26-03;12.9639;1.6965;4.3643
2014-10-26-04;12.9718;1.7427;4.4435
2014-10-26-05;12.9084;1.7646;4.4882
2014-10-26-06;13.2350;1.7840;4.4555
2014-10-26-07;13.7744;1.8084;4.3922
2014-10-26-08;14.1773;1.8298;4.3577
2014-10-26-09;14.6429;1.8536;4.3434
2014-10-26-10;15.2142;1.8945;4.3249
2014-10-26-11;15.3675;1.9355;4.3539
2014-10-26-12;15.1938;1.9558;4.4226
2014-10-26-13;15.4224;1.9824;4.4599
2014-10-26-14;15.4881;2.0181;4.4992
2014-10-26-15;15.7262;2.0796;4.5548
2014-10-26-16;16.0392;2.1733;4.6683
2014-10-26-17;16.4196;2.2763;4.7583
2014-10-26-18;16.3255;2.3245;4.8249
2014-10-26-19;16.5476;2.3405;4.8241
2014-10-26-20;16.8378;2.3741;4.8203
2014-10-26-21;16.3149;2.3810;4.8899
2014-10-26-22;15.5982;2.3585;4.9781
2014-10-26-23;15.3998;2.3573;5.0409
2014-10-27-00;15.0956;2.3403;5.0665
2014-10-27-01;15.2873;2.3149;5.0061
2014-10-27-02;15.6376;2.3061;4.9258
2014-10-27-03;15.3165;2.2764;4.9095
2014-10-27-04;15.1965;2.2318;4.8802
2014-10-27-05;15.0360;2.1917;4.8449
2014-10-27-06;14.8471;2.1471;4.8085
2014-10-27-07;14.5777;2.0963;4.7749
2014-10-27-08;14.3451;2.0500;4.7258
2014-10-27-09;14.1668;2.0015;4.6790
2014-10-27-10;13.9091;1.9386;4.6180
2014-10-27-11;13.8759;1.8728;4.5020
2014-10-27-12;13.7457;1.8085;4.4063
2014-10-27-13;13.3648;1.7393;4.3483
2014-10-27-14;12.8678;1.6635;4.3042
2014-10-27-15;12.4894;1.5897;4.2401
2014-10-27-16;12.2022;1.5227;4.1549
2014-10-27-17;12.0068;1.4622;4.0805
2014-10-27-18;11.9804;1.4117;4.0013
2014-10-27-19;12.1184;1.3735;3.9099
2014-10-27-20;12.3504;1.3504;3.7958
2014-10-27-21;12.5825;1.3392;3.7273
2014-10-27-22;12.7247;1.3322;3.7132
2014-10-27-23;12.7957;1.3263;3.7024
2014-10-28-00;12.7034;1.3154;3.6959
2014-10-28-01;12.4956;1.2962;3.6932
2014-10-28-02;12.3882;1.2754;3.6817
2014-10-28-03;12.5705;1.2667;3.6540
2014-10-28-04;12.9603;1.2799;3.6245
2014-10-28-05;13.3148;1.3111;3.6206
2014-10-28-06;13.5020;1.3444;3.6500
2014-10-28-07;13.5160;1.3710;3.6904
2014-10-28-08;13.4788;1.3898;3.7295
2014-10-28-09;13.6372;1.4115;3.7510
2014-10-28-10;13.8231;1.4385;3.7713
2014-10-28-11;13.7564;1.4540;3.8380
2014-10-28-12;13.6428;1.4597;3.8682
2014-10-28-13;13.6804;1.4654;3.8807
2014-10-28-14;13.6677;1.4750;3.8919
2014-10-28-15;13.9873;1.4979;3.8900
2014-10-28-16;14.1732;1.5286;3.9067
2014-10-28-17;14.1725;1.5506;3.9443
2014-10-28-18;14.1971;1.5660;3.9750
2014-10-28-19;14.2485;1.5827;3.9948
2014-10-28-20;14.3391;1.6053;4.0147
2014-10-28-21;14.3371;1.6312;4.0495
2014-10-28-22;14.1980;1.6506;4.1234
2014-10-28-23;13.8901;1.6607;4.1823
2014-10-29-00;13.3985;1.6558;4.2415
2014-10-29-01;12.8533;1.6389;4.2949
2014-10-29-02;10.6608;1.5599;4.4068
2014-10-29-03;7.3989;1.4194;4.5764
2014-10-29-04;6.6471;1.2758;4.7658
2014-10-29-05;7.9131;1.1624;4.7626
2014-10-29-06;10.2912;1.1148;3.7998
2014-10-29-07;11.6436;1.1880;3.4871
2014-10-29-08;11.9962;1.2483;3.6104
2014-10-29-09;11.7138;1.2700;3.7104
2014-10-29-10;11.5972;1.2782;3.7906
2014-10-29-11;11.0516;1.2756;3.8505
2014-10-29-12;10.5204;1.2604;3.9066
2014-10-29-13;10.4105;1.2498;3.9284
2014-10-29-14;10.1747;1.2393;3.9451
2014-10-29-15;9.6138;1.2167;3.9813
2014-10-29-16;8.7837;1.1846;4.0449
2014-10-29-17;8.3244;1.1627;4.0992
2014-10-29-18;7.8042;1.1569;4.2066
2014-10-29-19;7.1966;1.1646;4.3630
2014-10-29-20;7.3187;1.1867;4.4885
2014-10-29-21;7.6863;1.2190;4.5370
2014-10-29-22;8.0085;1.2546;4.5418
2014-10-29-23;7.8457;1.2832;4.5621
2014-10-30-00;7.2080;1.2942;4.7129
2014-10-30-01;6.8222;1.2927;4.8694
2014-10-30-02;6.8343;1.2863;4.9341
2014-10-30-03;6.9851;1.2776;4.9092
2014-10-30-04;7.5523;1.2714;4.7592
2014-10-30-05;8.1104;1.2716;4.4970
2014-10-30-06;8.5962;1.2756;4.2974
2014-10-30-07;9.2029;1.2843;4.1735
2014-10-30-08;9.6001;1.2949;4.0680
2014-10-30-09;9.0102;1.2830;4.1204
2014-10-30-10;8.6380;1.2586;4.1830
2014-10-30-11;9.2340;1.2499;4.1352
2014-10-30-12;9.6527;1.2587;4.0352
2014-10-30-13;9.9507;1.2721;3.9737
2014-10-30-14;10.2042;1.2854;3.9368
2014-10-30-15;10.3525;1.2972;3.9224
2014-10-30-16;10.4205;1.3054;3.9234
2014-10-30-17;10.6340;1.3148;3.9056
2014-10-30-18;10.6427;1.3235;3.9069
2014-10-30-19;10.3007;1.3198;3.9496
2014-10-30-20;10.0439;1.3097;3.9861
2014-10-30-21;10.3838;1.3116;3.9541
2014-10-30-22;10.8913;1.3277;3.9283
2014-10-30-23;11.0008;1.3432;3.9068
2014-10-31-00;10.9448;1.3494;3.9298
2014-10-31-01;10.7106;1.3449;3.9236
2014-10-31-02;10.3642;1.3280;3.9497
2014-10-31-03;10.3338;1.3116;3.9370
2014-10-31-04;10.3715;1.3006;3.9049
2014-10-31-05;10.0573;1.2833;3.9127
2014-10-31-06;9.7680;1.2605;3.9253
2014-10-31-07;9.7666;1.2443;3.9052
2014-10-31-08;9.9353;1.2399;3.8644
2014-10-31-09;9.8539;1.2349;3.8548
2014-10-31-10;9.7820;1.2260;3.8521
2014-10-31-11;9.6708;1.2136;3.8498
2014-10-31-12;9.3177;1.1924;3.8680
2014-10-31-13;8.9276;1.1637;3.8899
2014-10-31-14;8.4343;1.1300;3.9188
2014-10-31-15;7.9588;1.0935;3.9172
2014-10-31-16;7.5705;1.0571;3.9329
2014-10-31-17;7.1155;1.0198;3.9589
2014-10-31-18;6.7247;0.9825;3.9519
2014-10-31-19;6.7012;0.9495;3.9101
2014-10-31-20;6.8038;0.9223;3.7885
2014-10-31-21;6.9699;0.8993;3.6656
2014-10-31-22;7.4016;0.8838;3.5106
2014-10-31-23;7.6455;0.8723;3.3904
2014-11-01-00;7.8710;0.8614;3.3354
2014-11-01-01;8.6455;0.8657;3.2072
2014-11-01-02;9.0947;0.8794;3.1437
2014-11-01-03;9.8404;0.9052;3.1344
2014-11-01-04;10.7104;0.9522;3.1450
2014-11-01-05;11.3035;1.0062;3.1964
2014-11-01-06;11.8510;1.0575;3.2761
2014-11-01-07;12.4800;1.1168;3.3238
2014-11-01-08;13.0964;1.1853;3.3743
2014-11-01-09;13.8475;1.2683;3.4773
2014-11-01-10;14.3019;1.3612;3.5757
2014-11-01-11;14.4499;1.4341;3.7052
2014-11-01-12;14.6594;1.4962;3.7958
2014-11-01-13;14.6961;1.5482;3.8763
2014-11-01-14;14.0518;1.5576;3.9611
2014-11-01-15;13.4987;1.5355;4.0105
2014-11-01-16;13.1297;1.5077;4.0268
2014-11-01-17;13.0360;1.4882;4.0168
2014-11-01-18;12.8978;1.4727;4.0067
2014-11-01-19;12.5571;1.4446;3.9961
2014-11-01-20;12.3995;1.4024;3.9284
2014-11-01-21;12.2921;1.3479;3.8400
2014-11-01-22;12.1558;1.2896;3.7492
2014-11-01-23;11.7956;1.2296;3.6805
2014-11-02-00;11.1784;1.1582;3.6190
2014-11-02-01;11.2557;1.0944;3.5065
2014-11-02-02;11.4675;1.0548;3.3788
2014-11-02-03;12.1155;1.0556;3.2873
2014-11-02-04;12.0712;1.0624;3.2859
2014-11-02-05;11.8669;1.0560;3.3001
2014-11-02-06;12.3904;1.0727;3.3149
2014-11-02-07;13.4700;1.1496;3.3392
2014-11-02-08;12.9405;1.1932;3.4503
2014-11-02-09;13.9538;1.2658;3.4918
2014-11-02-10;15.2963;1.4280;3.5841
2014-11-02-11;15.9119;1.5868;3.7811
2014-11-02-12;16.8930;1.7570;3.9227
2014-11-02-13;17.4776;1.9273;4.1190
2014-11-02-14;17.7082;2.0783;4.2945
2014-11-02-15;17.8052;2.2251;4.4685
2014-11-02-16;17.5984;2.3735;4.7079
2014-11-02-17;17.4149;2.5204;4.9256
2014-11-02-18;17.7656;2.6479;5.0782
2014-11-02-19;18.1694;2.7282;5.1250
2014-11-02-20;15.3256;2.5315;5.1984
2014-11-02-21;11.9876;2.1248;5.1056
2014-11-02-22;9.6344;1.7322;4.9096
2014-11-02-23;7.7849;1.4411;4.7444
2014-11-03-00;6.1461;1.2450;4.6929
2014-11-03-01;6.3264;1.1284;4.5839
2014-11-03-02;7.1101;1.0678;4.3739
2014-11-03-03;8.8043;1.0545;4.0654
2014-11-03-04;9.5440;1.0689;3.8095
2014-11-03-05;9.4457;1.0637;3.7169
2014-11-03-06;9.2911;1.0314;3.6398
2014-11-03-07;14.4871;1.1726;3.2643
2014-11-03-08;17.0281;1.5509;3.5918
2014-11-03-09;15.6041;1.7882;4.1062
2014-11-03-10;14.7087;1.7977;4.2896
2014-11-03-11;16.7413;1.9042;4.2252
2014-11-03-12;16.7939;2.0252;4.3496
2014-11-03-13;16.4199;2.0496;4.4126
2014-11-03-14;16.7493;2.1043;4.4697
2014-11-03-15;17.1220;2.1813;4.5071
2014-11-03-16;17.7838;2.2278;4.4833
2014-11-03-17;18.5645;2.2685;4.4390
2014-11-03-18;19.7156;2.3511;4.4145
2014-11-03-19;20.8422;2.4965;4.5008
2014-11-03-20;20.3560;2.6074;4.6739
2014-11-03-21;20.7124;2.7430;4.7932
2014-11-03-22;20.1812;2.7478;4.8425
2014-11-03-23;20.0048;2.6764;4.7881
2014-11-04-00;19.6883;2.5893;4.7233
2014-11-04-01;18.7082;2.4603;4.6798
2014-11-04-02;17.6152;2.3086;4.6321
2014-11-04-03;15.2932;2.0812;4.6078
2014-11-04-04;12.1138;1.7614;4.5227
2014-11-04-05;9.3544;1.4337;4.3577
2014-11-04-06;6.8740;1.1736;4.2753
2014-11-04-07;5.5941;0.9943;4.2287
2014-11-04-08;5.0896;0.8773;4.1736
2014-11-04-09;5.0950;0.8051;4.0852
2014-11-04-10;5.3777;0.7673;3.9539
2014-11-04-11;5.6971;0.7575;3.7730
2014-11-04-12;5.5963;0.7648;3.7224
2014-11-04-13;5.3094;0.7777;3.8505
2014-11-04-14;5.0500;0.7938;4.0430
2014-11-04-15;5.5185;0.8174;4.1025
2014-11-04-16;5.5137;0.8459;4.1319
