time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
1997-02-25-04; 0.7268; 3.5394
1997-02-25-05; 0.7084; 3.3461
1997-02-25-06; 0.6151; 3.2480
1997-02-25-07; 0.5041; 3.1046
1997-02-25-08; 0.4377; 3.0106
1997-02-25-09; 0.4879; 3.0152
1997-02-25-10; 0.3724; 2.9879
1997-02-25-11; 0.3178; 3.1246
1997-02-25-12; 0.2386; 3.3166
1997-02-25-13; 0.2042; 4.4678
1997-02-25-14; 0.2671; 3.3670
1997-02-25-15; 0.3076; 3.3090
1997-02-25-16; 0.2730; 3.5005
1997-02-25-17; 0.2452; 3.7982
1997-02-25-18; 0.2317; 3.9658
1997-02-25-19; 0.2419; 3.9656
1997-02-25-20; 0.2175; 3.8717
1997-02-25-21; 0.2002; 3.5950
1997-02-25-22; 0.2436; 3.3638
1997-02-25-23; 0.2532; 3.3906
1997-02-26-00; 0.2887; 3.2346
1997-02-26-01; 0.2845; 3.2266
1997-02-26-02; 0.3302; 3.1673
1997-02-26-03; 0.4199; 3.2115
1997-02-26-04; 0.7448; 3.5322
1997-02-26-05; 0.9283; 3.7229
1997-02-26-06; 1.0646; 3.9238
1997-02-26-07; 1.2322; 4.1561
1997-02-26-08; 1.2734; 4.3383
1997-02-26-09; 1.2785; 4.3316
1997-02-26-10; 1.3563; 4.5798
1997-02-26-11; 1.3082; 4.5203
1997-02-26-12; 1.6208; 4.7113
1997-02-26-13; 1.8802; 4.9246
1997-02-26-14; 2.0016; 5.0268
1997-02-26-15; 1.9480; 5.1289
1997-02-26-16; 2.0848; 5.1526
1997-02-26-17; 2.0134; 5.3448
1997-02-26-18; 1.8127; 5.3603
1997-02-26-19; 1.5853; 5.2458
1997-02-26-20; 1.4453; 5.2291
1997-02-26-21; 1.5294; 5.3043
1997-02-26-22; 1.1820; 4.8153
1997-02-26-23; 1.1290; 4.5929
1997-02-27-00; 0.9701; 4.4042
1997-02-27-01; 1.0173; 4.6660
1997-02-27-02; 1.0567; 4.8107
1997-02-27-03; 1.0271; 4.7372
1997-02-27-04; 1.0624; 4.6688
1997-02-27-05; 0.9689; 4.6205
1997-02-27-06; 1.0263; 4.6616
1997-02-27-07; 1.0881; 4.6897
1997-02-27-08; 1.0391; 4.6896
1997-02-27-09; 0.8850; 4.6151
1997-02-27-10; 0.8648; 4.7230
1997-02-27-11; 0.8127; 4.6384
1997-02-27-12; 0.6889; 4.4690
1997-02-27-13; 0.6652; 4.7229
1997-02-27-14; 0.6585; 4.6147
1997-02-27-15; 0.7334; 4.9616
1997-02-27-16; 0.6646; 4.8300
1997-02-27-17; 0.6549; 4.9560
1997-02-27-18; 0.6079; 4.9334
1997-02-27-19; 0.6450; 4.9944
1997-02-27-20; 0.6079; 5.1853
1997-02-27-21; 0.6293; 5.1357
1997-02-27-22; 0.6500; 4.9900
1997-02-27-23; 0.7528; 4.6580
1997-02-28-00; 0.8859; 4.6282
1997-02-28-01; 0.8694; 4.7642
1997-02-28-02; 0.8508; 4.4038
1997-02-28-03; 0.8103; 4.5861
1997-02-28-04; 0.7671; 4.9066
1997-02-28-05; 0.6801; 4.9187
1997-02-28-06; 0.6848; 4.9704
1997-02-28-07; 0.6274; 4.8367
1997-02-28-08; 0.7268; 5.4349
1997-02-28-09; 0.8361; 5.6433
1997-02-28-10; 1.0306; 6.2453
1997-02-28-11; 1.0236; 6.4634
1997-02-28-12; 1.1780; 6.9885
1997-02-28-13; 1.2095; 7.1231
1997-02-28-14; 1.1813; 6.5619
1997-02-28-15; 1.1250; 6.6387
1997-02-28-16; 0.9877; 5.6192
1997-02-28-17; 1.1154; 5.7501
1997-02-28-18; 1.0110; 5.7025
1997-02-28-19; 0.9779; 5.1543
1997-02-28-20; 0.9330; 4.7078
1997-02-28-21; 0.9390; 4.9666
1997-02-28-22; 0.9676; 4.8786
1997-02-28-23; 1.1452; 5.1651
1997-03-01-00; 1.1574; 5.5386
1997-03-01-01; 1.0789; 5.5825
1997-03-01-02; 1.1339; 5.6798
1997-03-01-03; 1.1204; 5.7597
1997-03-01-04; 1.0294; 5.6174
1997-03-01-05; 1.1013; 6.0866
1997-03-01-06; 0.9746; 5.6498
1997-03-01-07; 0.9231; 5.5648
1997-03-01-08; 0.8298; 5.2203
1997-03-01-09; 0.8795; 5.5805
1997-03-01-10; 0.7650; 5.3651
1997-03-01-11; 0.8293; 5.1105
1997-03-01-12; 0.7743; 4.6887
1997-03-01-13; 0.7892; 4.6593
1997-03-01-14; 0.9454; 4.7249
1997-03-01-15; 0.9655; 4.5171
1997-03-01-16; 0.9622; 4.6550
1997-03-01-17; 0.9913; 4.5836
1997-03-01-18; 0.9970; 4.3661
1997-03-01-19; 0.9893; 4.3917
1997-03-01-20; 0.9360; 4.1510
1997-03-01-21; 1.0046; 4.2100
1997-03-01-22; 1.0106; 4.2812
1997-03-01-23; 1.0870; 4.3065
1997-03-02-00; 1.2224; 4.3992
1997-03-02-01; 1.3119; 4.6168
1997-03-02-02; 1.2483; 4.5380
1997-03-02-03; 1.4283; 4.7942
1997-03-02-04; 1.3346; 4.7765
1997-03-02-05; 1.3058; 4.8655
1997-03-02-06; 1.1810; 4.9212
1997-03-02-07; 1.1615; 4.9353
1997-03-02-08; 1.0888; 4.8544
1997-03-02-09; 1.0521; 4.8730
1997-03-02-10; 1.0483; 4.5184
1997-03-02-11; 1.0744; 4.5400
1997-03-02-12; 1.0896; 4.3404
1997-03-02-13; 1.1905; 4.3636
1997-03-02-14; 1.1925; 4.3953
1997-03-02-15; 1.1031; 4.5578
1997-03-02-16; 1.0910; 4.4807
1997-03-02-17; 1.1282; 4.5243
1997-03-02-18; 1.2155; 4.8806
1997-03-02-19; 1.3234; 5.1443
1997-03-02-20; 1.2335; 5.1487
1997-03-02-21; 1.1118; 5.1009
1997-03-02-22; 1.1745; 4.8946
1997-03-02-23; 1.2237; 4.6482
1997-03-03-00; 1.0294; 4.5829
1997-03-03-01; 1.0114; 4.3488
1997-03-03-02; 0.9828; 4.7676
1997-03-03-03; 1.0333; 5.5506
1997-03-03-04; 0.9441; 5.5768
1997-03-03-05; 0.9475; 5.6006
1997-03-03-06; 0.9889; 5.5637
1997-03-03-07; 0.9390; 5.3933
1997-03-03-08; 0.9157; 5.3673
1997-03-03-09; 0.9382; 5.0509
1997-03-03-10; 0.8313; 5.3700
1997-03-03-11; 0.7907; 5.2706
1997-03-03-12; 0.6830; 4.8455
1997-03-03-13; 0.6350; 4.5252
1997-03-03-14; 0.5851; 4.5013
1997-03-03-15; 0.6406; 4.1156
1997-03-03-16; 0.5417; 4.8477
1997-03-03-17; 0.6112; 4.2725
1997-03-03-18; 0.5634; 4.6775
1997-03-03-19; 0.5512; 5.6363
1997-03-03-20; 0.4888; 6.2525
1997-03-03-21; 0.5570; 6.8247
1997-03-03-22; 0.5919; 7.2195
1997-03-03-23; 0.5512; 6.8327
1997-03-04-00; 0.5641; 6.6045
1997-03-04-01; 0.5548; 5.5214
1997-03-04-02; 0.5885; 5.7953
1997-03-04-03; 0.5135; 5.5536
1997-03-04-04; 0.6312; 5.4488
1997-03-04-05; 0.6197; 4.7593
1997-03-04-06; 0.6883; 4.4797
1997-03-04-07; 0.7279; 4.1436
1997-03-04-08; 0.8480; 3.9998
1997-03-04-09; 0.9526; 4.1636
1997-03-04-10; 0.9962; 4.1743
1997-03-04-11; 1.0321; 4.2368
1997-03-04-12; 1.0372; 4.3297
1997-03-04-13; 1.0169; 4.2303
1997-03-04-14; 1.0078; 4.2235
1997-03-04-15; 0.9382; 4.3533
1997-03-04-16; 1.1336; 4.5888
1997-03-04-17; 1.2158; 4.7485
1997-03-04-18; 1.2399; 5.1262
1997-03-04-19; 1.2178; 5.1157
1997-03-04-20; 1.1535; 5.2131
1997-03-04-21; 1.2269; 5.3109
1997-03-04-22; 1.1168; 5.1800
1997-03-04-23; 1.0781; 5.0439
1997-03-05-00; 1.0998; 5.2436
1997-03-05-01; 0.9954; 5.2098
1997-03-05-02; 0.9881; 5.3394
1997-03-05-03; 0.9970; 5.2886
1997-03-05-04; 1.0228; 5.2461
1997-03-05-05; 0.9734; 5.3026
1997-03-05-06; 1.0314; 5.5528
1997-03-05-07; 1.0479; 5.3781
1997-03-05-08; 1.1434; 5.5956
1997-03-05-09; 1.3672; 6.0980
1997-03-05-10; 1.5657; 6.5990
1997-03-05-11; 1.7227; 7.0500
1997-03-05-12; 1.5339; 7.0025
1997-03-05-13; 1.4828; 7.1101
1997-03-05-14; 1.4714; 7.1024
1997-03-05-15; 1.3445; 7.3730
1997-03-05-16; 1.4040; 7.3644
1997-03-05-17; 1.6068; 7.7840
1997-03-05-18; 1.8855; 8.3439
1997-03-05-19; 1.8785; 8.0474
1997-03-05-20; 1.8497; 8.1248
1997-03-05-21; 2.0811; 8.3138
1997-03-05-22; 1.7736; 7.8882
1997-03-05-23; 1.6582; 7.3688
1997-03-06-00; 1.6973; 7.3915
1997-03-06-01; 1.3719; 6.6982
1997-03-06-02; 1.3862; 6.8743
1997-03-06-03; 1.4325; 6.7778
1997-03-06-04; 1.5549; 5.9609
1997-03-06-05; 1.5978; 5.7208
1997-03-06-06; 1.5705; 6.2667
1997-03-06-07; 1.6685; 6.0725
1997-03-06-08; 1.6465; 6.0674
1997-03-06-09; 1.8022; 6.0205
1997-03-06-10; 1.8401; 5.6948
1997-03-06-11; 1.6680; 5.2015
1997-03-06-12; 1.9613; 5.1453
1997-03-06-13; 2.0253; 5.1981
1997-03-06-14; 2.0450; 5.3297
1997-03-06-15; 2.1216; 5.6910
1997-03-06-16; 1.8765; 5.6587
1997-03-06-17; 2.0882; 6.4580
1997-03-06-18; 1.9662; 6.5551
1997-03-06-19; 1.8481; 6.9319
1997-03-06-20; 1.7469; 6.9775
1997-03-06-21; 1.6431; 5.1303
1997-03-06-22; 1.7615; 4.7138
1997-03-06-23; 1.4057; 4.4353
1997-03-07-00; 1.2263; 4.0413
1997-03-07-01; 1.0807; 3.8822
1997-03-07-02; 0.9626; 3.6890
1997-03-07-03; 0.8759; 3.6660
1997-03-07-04; 0.5885; 3.9193
1997-03-07-05; 0.5677; 4.0186
1997-03-07-06; 0.5088; 5.6155
1997-03-07-07; 0.6164; 6.0671
1997-03-07-08; 0.5497; 5.1558
1997-03-07-09; 0.6640; 5.3748
1997-03-07-10; 0.5174; 4.7693
1997-03-07-11; 0.5143; 5.9615
1997-03-07-12; 0.5251; 5.8827
1997-03-07-13; 0.4539; 5.0745
1997-03-07-14; 0.5251; 5.1082
1997-03-07-15; 0.4441; 4.9167
1997-03-07-16; 0.4609; 5.7590
1997-03-07-17; 0.5251; 4.2165
1997-03-07-18; 0.5613; 4.0700
1997-03-07-19; 0.6906; 3.6972
1997-03-07-20; 0.7421; 3.7032
1997-03-07-21; 0.7235; 3.6105
1997-03-07-22; 0.6646; 3.4975
1997-03-07-23; 0.7179; 3.4242
1997-03-08-00; 0.5891; 3.4786
1997-03-08-01; 0.4609; 3.7039
1997-03-08-02; 0.3841; 4.2276
1997-03-08-03; 0.3241; 5.3143
1997-03-08-04; 0.2817; 7.1406
1997-03-08-05; 0.4266; 3.4295
1997-03-08-06; 0.5740; 3.6214
1997-03-08-07; 0.5925; 3.7457
1997-03-08-08; 0.6506; 3.8057
1997-03-08-09; 0.6981; 3.7979
1997-03-08-10; 0.7067; 3.6910
1997-03-08-11; 0.6975; 3.7515
1997-03-08-12; 0.6475; 3.7251
1997-03-08-13; 0.6293; 3.7262
1997-03-08-14; 0.5761; 3.9055
1997-03-08-15; 0.5857; 3.6919
1997-03-08-16; 0.5372; 3.7585
1997-03-08-17; 0.5049; 3.9350
1997-03-08-18; 0.4609; 4.2311
1997-03-08-19; 0.4592; 4.6035
1997-03-08-20; 0.4228; 4.5542
1997-03-08-21; 0.4073; 5.1601
1997-03-08-22; 0.6819; 3.4564
1997-03-08-23; 0.7691; 3.5673
1997-03-09-00; 0.7998; 3.6684
1997-03-09-01; 0.8456; 3.8061
1997-03-09-02; 0.9377; 3.6899
1997-03-09-03; 0.9738; 3.7680
1997-03-09-04; 1.0676; 3.7641
1997-03-09-05; 1.2309; 3.8107
1997-03-09-06; 1.1121; 3.9289
1997-03-09-07; 1.0414; 3.9375
1997-03-09-08; 1.1570; 4.1469
1997-03-09-09; 1.0125; 4.0211
1997-03-09-10; 1.0870; 4.2474
1997-03-09-11; 1.1064; 4.4054
1997-03-09-12; 1.2220; 4.7068
1997-03-09-13; 1.2354; 4.7579
1997-03-09-14; 1.0601; 4.6638
1997-03-09-15; 1.0006; 4.8855
1997-03-09-16; 0.9840; 5.1568
1997-03-09-17; 0.8890; 5.1086
1997-03-09-18; 0.7983; 5.2707
1997-03-09-19; 0.7168; 5.2821
1997-03-09-20; 0.6964; 5.5102
1997-03-09-21; 0.6935; 5.5780
1997-03-09-22; 0.6883; 5.6604
1997-03-09-23; 0.6337; 5.7185
1997-03-10-00; 0.6456; 5.7774
1997-03-10-01; 0.6597; 4.6261
1997-03-10-02; 0.6462; 4.3605
1997-03-10-03; 0.6573; 4.0344
1997-03-10-04; 0.6438; 4.0027
1997-03-10-05; 0.6906; 3.9082
1997-03-10-06; 0.9135; 3.9869
1997-03-10-07; 1.2025; 4.1970
1997-03-10-08; 1.4550; 4.5419
1997-03-10-09; 1.5054; 4.6723
1997-03-10-10; 1.5662; 4.7976
1997-03-10-11; 1.6919; 4.6875
1997-03-10-12; 1.8774; 4.9664
1997-03-10-13; 2.1376; 5.1671
1997-03-10-14; 2.2696; 5.2848
1997-03-10-15; 2.2091; 5.4204
1997-03-10-16; 2.3008; 5.5546
1997-03-10-17; 2.4801; 5.7920
1997-03-10-18; 2.0635; 5.7166
1997-03-10-19; 2.0813; 5.9560
1997-03-10-20; 1.6736; 5.8806
1997-03-10-21; 1.6126; 5.8019
1997-03-10-22; 1.5916; 6.0685
1997-03-10-23; 1.7590; 6.1862
1997-03-11-00; 1.6205; 6.1834
1997-03-11-01; 1.6736; 6.1020
1997-03-11-02; 1.8712; 6.4913
1997-03-11-03; 1.5541; 6.1256
1997-03-11-04; 1.5310; 6.1996
1997-03-11-05; 1.2974; 6.1570
1997-03-11-06; 1.2573; 6.1726
1997-03-11-07; 1.1483; 6.3717
1997-03-11-08; 1.1399; 6.4934
1997-03-11-09; 1.0703; 6.6395
1997-03-11-10; 0.9795; 6.6570
1997-03-11-11; 0.9412; 6.8064
1997-03-11-12; 1.0302; 7.1162
1997-03-11-13; 1.0544; 7.1311
1997-03-11-14; 1.2822; 7.3584
1997-03-11-15; 1.1800; 6.9240
1997-03-11-16; 1.1989; 7.1957
1997-03-11-17; 1.2165; 7.2115
1997-03-11-18; 1.1046; 6.7945
1997-03-11-19; 1.0410; 6.5806
1997-03-11-20; 0.9622; 6.7905
1997-03-11-21; 0.9869; 7.3972
1997-03-11-22; 0.9705; 7.6006
1997-03-11-23; 1.0903; 7.7064
1997-03-12-00; 1.2148; 8.0422
1997-03-12-01; 1.2728; 8.0891
1997-03-12-02; 1.1546; 7.9410
1997-03-12-03; 1.1800; 7.5907
1997-03-12-04; 1.1186; 7.0049
1997-03-12-05; 1.0620; 6.3358
1997-03-12-06; 1.0395; 6.5569
1997-03-12-07; 0.9496; 7.1545
1997-03-12-08; 0.7862; 6.0822
1997-03-12-09; 0.7963; 6.2177
1997-03-12-10; 0.8781; 4.8575
1997-03-12-11; 0.8908; 5.0900
1997-03-12-12; 0.9122; 5.3775
1997-03-12-13; 0.8694; 5.3801
1997-03-12-14; 0.8484; 6.4009
1997-03-12-15; 0.8308; 7.3909
1997-03-12-16; 0.9742; 6.1388
1997-03-12-17; 0.9530; 6.2711
1997-03-12-18; 0.9403; 5.0936
1997-03-12-19; 0.8759; 4.7859
1997-03-12-20; 0.7480; 5.6007
1997-03-12-21; 0.7815; 5.7764
1997-03-12-22; 0.8240; 8.3333
1997-03-12-23; 0.9820; 6.7848
1997-03-13-00; 1.0337; 6.3822
1997-03-13-01; 0.9754; 5.4391
1997-03-13-02; 1.0483; 4.3249
1997-03-13-03; 0.9244; 4.1806
1997-03-13-04; 0.8522; 4.4962
1997-03-13-05; 0.6918; 4.0812
1997-03-13-06; 0.6700; 3.7190
1997-03-13-07; 0.6493; 3.7554
1997-03-13-08; 0.7851; 3.6579
1997-03-13-09; 0.6658; 3.4698
1997-03-13-10; 0.5213; 3.5291
1997-03-13-11; 0.5049; 3.7118
1997-03-13-12; 0.5081; 3.5385
1997-03-13-13; 0.4312; 3.5829
1997-03-13-14; 0.4014; 3.9300
1997-03-13-15; 0.3943; 3.9287
1997-03-13-16; 0.4103; 3.1844
1997-03-13-17; 0.4142; 3.4467
1997-03-13-18; 0.3010; 3.5317
1997-03-13-19; 0.3604; 3.2645
1997-03-13-20; 0.4503; 3.2581
1997-03-13-21; 0.6105; 3.2809
1997-03-13-22; 0.6261; 3.2940
1997-03-13-23; 0.4830; 3.2177
1997-03-14-00; 0.4180; 3.1995
1997-03-14-01; 0.3984; 3.2256
1997-03-14-02; 0.3536; 3.3265
1997-03-14-03; 0.4349; 3.1245
1997-03-14-04; 0.3788; 3.3656
1997-03-14-05; 0.2969; 3.1536
1997-03-14-06; 0.2081; 3.2519
1997-03-14-07; 0.1791; 3.4932
1997-03-14-08; 0.1471; 3.5111
1997-03-14-09; 0.1416; 3.8245
1997-03-14-10; 0.1471; 4.4188
1997-03-14-11; 0.2774; 3.0078
1997-03-14-13; 0.2788; 3.0991
1997-03-14-14; 0.3203; 2.9705
1997-03-14-15; 0.2901; 3.0330
1997-03-14-16; 0.1791; 3.2267
1997-03-14-17; 0.1675; 3.9582
1997-03-14-18; 0.1675; 4.1733
1997-03-14-19; 0.1266; 6.2281
1997-03-14-20; 0.1328; 8.4902
1997-03-14-21; 0.1899; 3.4950
1997-03-14-22; 0.4199; 3.0763
1997-03-14-23; 0.6993; 3.4169
1997-03-15-00; 0.8993; 3.8767
1997-03-15-01; 1.0818; 4.1190
1997-03-15-02; 1.3158; 4.5182
1997-03-15-03; 1.4742; 4.9546
1997-03-15-04; 1.6343; 5.1186
1997-03-15-05; 1.8056; 5.4664
1997-03-15-06; 1.8855; 5.5760
1997-03-15-07; 2.0229; 5.5611
1997-03-15-08; 2.3019; 6.1578
1997-03-15-09; 2.2717; 6.2237
1997-03-15-10; 2.2345; 6.4651
1997-03-15-11; 2.4355; 6.9118
1997-03-15-12; 2.5385; 7.4511
1997-03-15-13; 1.9849; 7.4663
1997-03-15-14; 1.7991; 7.5535
1997-03-15-15; 1.5505; 7.2262
1997-03-15-16; 1.3859; 7.2240
1997-03-15-17; 1.4517; 7.0804
1997-03-15-18; 1.4213; 5.6691
1997-03-15-19; 1.2595; 4.8078
1997-03-15-20; 1.2522; 4.8891
1997-03-15-21; 1.1243; 4.3671
1997-03-15-22; 1.1318; 4.3065
1997-03-15-23; 0.9998; 4.0087
1997-03-16-00; 0.9754; 4.0367
1997-03-16-01; 1.1725; 4.3984
1997-03-16-02; 1.3957; 5.3845
1997-03-16-03; 1.4712; 5.9244
1997-03-16-04; 1.5157; 5.9650
1997-03-16-05; 1.4785; 6.4000
1997-03-16-06; 1.3713; 6.3318
1997-03-16-07; 1.1455; 5.8515
1997-03-16-08; 1.0759; 5.5131
1997-03-16-09; 1.0271; 5.3959
1997-03-16-10; 1.0472; 4.7980
1997-03-16-11; 0.9942; 5.2172
1997-03-16-13; 0.9804; 4.8882
1997-03-16-14; 0.9530; 5.0073
1997-03-16-15; 0.9087; 5.3353
1997-03-16-16; 0.9274; 4.9573
1997-03-16-17; 0.8346; 4.9765
1997-03-16-18; 0.7038; 5.0723
1997-03-16-19; 0.7464; 4.3925
1997-03-16-20; 0.6975; 3.9451
1997-03-16-21; 0.6964; 3.7235
1997-03-16-22; 0.6419; 3.7065
1997-03-16-23; 0.7213; 3.7811
1997-03-17-00; 0.6771; 3.7893
1997-03-17-01; 0.5182; 4.0714
1997-03-17-02; 0.5236; 4.1604
1997-03-17-03; 0.5274; 4.2046
1997-03-17-04; 0.4322; 6.1099
1997-03-17-05; 0.4171; 7.4247
1997-03-17-06; 0.3767; 6.1154
1997-03-17-07; 0.3872; 5.4667
1997-03-17-08; 0.3456; 4.3124
1997-03-17-09; 0.4122; 3.9663
1997-03-17-10; 0.4024; 3.7312
1997-03-17-11; 0.4171; 3.7806
1997-03-17-12; 0.4494; 3.5851
1997-03-17-13; 0.5143; 3.6877
1997-03-17-14; 0.5120; 3.9339
1997-03-17-15; 0.5025; 3.9620
1997-03-17-16; 0.5613; 4.1251
1997-03-17-17; 0.5394; 3.8066
1997-03-17-18; 0.5973; 3.8592
1997-03-17-19; 0.6658; 3.5477
1997-03-17-20; 0.7988; 3.6354
1997-03-17-21; 0.8886; 3.7162
1997-03-17-22; 1.1759; 4.0306
1997-03-18-00; 1.4893; 4.5644
1997-03-18-01; 1.6143; 4.6334
1997-03-18-02; 2.1026; 5.3979
1997-03-18-03; 2.0237; 5.3290
1997-03-18-04; 1.8290; 5.3003
1997-03-18-05; 1.9356; 5.6357
1997-03-18-06; 1.6666; 5.5053
1997-03-18-07; 1.5505; 5.5618
1997-03-18-08; 1.2822; 5.4895
1997-03-18-09; 1.3058; 5.5853
1997-03-18-10; 1.1864; 5.5043
1997-03-18-11; 1.1096; 5.5216
1997-03-18-12; 1.0491; 5.6333
1997-03-18-13; 1.0030; 4.7777
1997-03-18-14; 0.9639; 4.2298
1997-03-18-15; 0.8998; 4.0188
1997-03-18-16; 0.8220; 3.6464
1997-03-18-17; 0.5577; 3.5877
1997-03-18-18; 0.4275; 3.6491
1997-03-18-19; 0.3745; 3.9492
1997-03-18-20; 0.3882; 3.6524
1997-03-18-21; 0.3637; 3.7427
1997-03-18-22; 0.3338; 4.4585
1997-03-18-23; 0.3089; 4.6639
1997-03-19-00; 0.3010; 4.9791
1997-03-19-01; 0.3314; 4.4904
1997-03-19-02; 0.3326; 3.8647
1997-03-19-03; 0.2887; 4.6373
1997-03-19-04; 0.2745; 4.8352
1997-03-19-05; 0.2626; 4.8318
1997-03-19-06; 0.2901; 4.8281
1997-03-19-07; 0.2788; 4.5729
1997-03-19-08; 0.2730; 5.3374
1997-03-19-09; 0.2100; 7.4991
1997-03-19-10; 0.2369; 4.3431
1997-03-19-11; 0.2419; 4.4362
1997-03-19-12; 0.2484; 4.5913
1997-03-19-13; 0.2436; 4.4016
1997-03-19-14; 0.2452; 4.6883
1997-03-19-15; 0.2942; 5.4359
1997-03-19-17; 0.2042; 7.9926
1997-03-19-18; 0.2335; 8.1506
1997-03-19-19; 0.2335; 7.9749
1997-03-19-20; 0.2468; 4.5918
1997-03-19-21; 0.3228; 3.5165
1997-03-19-22; 0.4266; 3.3853
1997-03-19-23; 0.4441; 3.3897
1997-03-20-00; 0.5065; 3.5529
1997-03-20-01; 0.6059; 3.5933
1997-03-20-02; 0.6877; 3.6747
1997-03-20-03; 0.6783; 3.7357
1997-03-20-04; 0.6670; 3.7588
1997-03-20-05; 0.6871; 3.8125
1997-03-20-06; 0.7084; 3.7380
1997-03-20-07; 0.8216; 3.8618
1997-03-20-08; 0.8940; 3.9389
1997-03-20-09; 0.8569; 4.1232
1997-03-20-10; 0.8886; 4.0749
1997-03-20-11; 0.8279; 4.1430
1997-03-20-12; 0.7246; 4.1338
1997-03-20-13; 0.6813; 4.0417
1997-03-20-14; 0.7318; 3.9370
1997-03-20-15; 0.7671; 3.9030
1997-03-20-16; 0.8308; 3.9587
1997-03-20-17; 0.8298; 4.0726
1997-03-20-18; 0.8931; 4.0094
1997-03-20-19; 1.0165; 4.1429
1997-03-20-20; 1.1096; 4.1606
1997-03-20-21; 1.2630; 4.2766
1997-03-20-22; 1.4328; 4.4371
1997-03-20-23; 1.3669; 4.4514
1997-03-21-00; 1.3097; 4.4901
1997-03-21-01; 1.2367; 4.5643
1997-03-21-02; 1.1639; 4.7646
1997-03-21-03; 1.0899; 5.0107
1997-03-21-04; 1.0129; 4.9841
1997-03-21-05; 0.8196; 4.5065
1997-03-21-06; 0.6765; 4.7347
1997-03-21-07; 0.6469; 5.0985
1997-03-21-08; 0.6118; 5.1509
1997-03-21-09; 0.5541; 5.2551
1997-03-21-10; 0.5719; 5.2681
1997-03-21-11; 0.5159; 4.8767
1997-03-21-12; 0.5342; 5.1437
1997-03-21-13; 0.5205; 4.4790
1997-03-21-14; 0.5017; 4.2911
1997-03-21-15; 0.4548; 4.9083
1997-03-21-16; 0.4256; 4.7155
1997-03-21-17; 0.4771; 4.9591
1997-03-21-18; 0.5228; 4.3283
1997-03-21-19; 0.5159; 4.1270
1997-03-21-20; 0.4904; 4.4985
1997-03-21-21; 0.5001; 4.2920
1997-03-21-22; 0.6222; 4.6258
1997-03-21-23; 0.5372; 5.4448
1997-03-22-00; 0.6718; 4.4640
1997-03-22-01; 0.7010; 4.6276
1997-03-22-02; 0.8103; 4.0004
1997-03-22-03; 0.7681; 4.0200
1997-03-22-04; 0.8013; 4.0856
1997-03-22-05; 0.8456; 4.2115
1997-03-22-06; 0.7592; 4.3798
1997-03-22-07; 0.8380; 4.3504
1997-03-22-08; 0.8731; 4.8372
1997-03-22-09; 0.9705; 4.9289
1997-03-22-10; 1.2318; 5.1602
1997-03-22-11; 1.3836; 5.0869
1997-03-22-12; 1.4241; 4.9507
1997-03-22-13; 1.4898; 5.0447
1997-03-22-14; 1.4233; 4.7061
1997-03-22-15; 1.4102; 4.6814
1997-03-22-16; 1.2416; 4.3871
1997-03-22-17; 1.2012; 4.4529
1997-03-22-18; 1.1922; 4.4314
1997-03-22-19; 1.1684; 4.7237
1997-03-22-20; 1.1553; 5.2191
1997-03-22-21; 1.2477; 5.8240
1997-03-22-22; 1.2897; 6.0914
1997-03-22-23; 1.2922; 6.1009
1997-03-23-00; 1.2614; 5.9532
1997-03-23-01; 1.2448; 6.0555
1997-03-23-02; 0.9938; 5.6926
1997-03-23-03; 0.9471; 4.6587
1997-03-23-04; 0.9517; 4.5323
1997-03-23-05; 0.9373; 4.5645
1997-03-23-06; 0.8676; 4.5659
1997-03-23-07; 0.8564; 4.9304
1997-03-23-08; 0.8389; 5.7773
1997-03-23-09; 0.8904; 4.9012
1997-03-23-10; 0.8989; 5.6200
1997-03-23-11; 1.0002; 5.1428
1997-03-23-12; 0.8498; 4.7939
1997-03-23-13; 0.8337; 5.2667
1997-03-23-14; 0.8404; 5.3567
1997-03-23-15; 0.8048; 5.2897
1997-03-23-16; 0.8078; 4.9068
1997-03-23-17; 0.7179; 4.7466
1997-03-23-18; 0.6518; 4.3959
1997-03-23-19; 0.6795; 4.6497
1997-03-23-20; 0.7151; 5.8156
1997-03-23-21; 0.5802; 5.0273
1997-03-23-22; 0.6555; 4.6937
1997-03-23-23; 0.6555; 4.1740
1997-03-24-00; 0.6072; 4.1811
1997-03-24-01; 0.4928; 5.0779
1997-03-24-02; 0.5159; 4.2467
1997-03-24-03; 0.4920; 4.4312
1997-03-24-04; 0.4228; 4.5886
1997-03-24-05; 0.4331; 3.8587
1997-03-24-06; 0.3626; 4.3287
1997-03-24-07; 0.3456; 4.6181
1997-03-24-08; 0.3374; 5.1843
1997-03-24-09; 0.3165; 4.6205
1997-03-24-10; 0.4190; 3.7955
1997-03-24-11; 0.5483; 3.5856
1997-03-24-12; 0.5526; 3.7101
1997-03-24-13; 0.4788; 3.6208
1997-03-24-14; 0.4486; 3.8123
1997-03-24-15; 0.3882; 3.4737
1997-03-24-16; 0.3913; 3.6287
1997-03-24-17; 0.3326; 3.7622
1997-03-24-18; 0.2942; 3.6322
1997-03-24-19; 0.3191; 3.5308
1997-03-24-20; 0.4618; 3.2408
1997-03-24-21; 0.3702; 3.2544
1997-03-24-22; 0.3277; 3.3792
1997-03-24-23; 0.3314; 3.4483
